<1>//邂逅　〜バーサス羽田鷹志〜
<1>邂逅　〜Ｖｅｒｓｕｓ羽田鹰志〜
 
<2>//　私立美空学園の三年生、羽田鷹志は名前も知らない誰かに語りかけている。彼は「グレタガルド」という世界の時期王候補、聖騎士ホークの≪転生≫した姿で、いずれ生まれた場所に帰らなくてはならない。そのために、この世界でやり残したことを携帯電話のメモに書き記して処理していく「残務処理」を開始する。
<2>　私立美空学园的三年级学生羽田鹰志，正在向连名字都不知道的某人说着些什么。他实际上是名为「古雷塔加尔德」的世界中的王位候选人，圣骑士霍克≪转生≫之后的存在，总有一天必须要回到自己土生土长的地方。为此，他开始将自己在这个世界想要完成的事情记在了手机的记事本上，并开始了这段名为「残务处理」的行动。
 
<3>//#鷹志\TAK1004$&　自分が普通じゃないってことに気付いたのはいつ頃だったろう。$
<3>#鷹志\TAK1004$&　我是什么时候才开始注意到，自己并不普通的呢。$
 
<4>//#鷹志\TAK1005$&　誰にだってあるよね。自分にとっては当たり前だと思っていたことが、一般的にはそうでもなかったんだって気付く、そういう経験。$
<4>#鷹志\TAK1005$&　被自己当做是理所当然的事情，却并非他人眼中的普通——像这种经验，应该每个人都会有吧。$
 
<5>//#鷹志\TAK1006$&　自分のことを「ぼく」と呼ぶのが子供たちの間では格好悪いことだとか、一度もリフォームしないまま築３０年を越しているうちの家が、周囲の景観からわりと浮きあがってることだとか──$
<5>#鷹志\TAK1006$&　像是在小的时候，因为用自谦的称呼而被伙伴们嘲笑。或是察觉到自己那个建了三十多年完全没有整修过的家，已经在不知不觉中和周围的景色显得格格不入的感觉——$
 
<6>//#鷹志\TAK1007$&　──もう覚えてないけれど、いつか昔に気が付いたんだろう。$
<6>#鷹志\TAK1007$&　——虽然已经记不太清楚了，不过察觉到那些事实，应该也是在很久以前的事情了吧。$
 
<7>//#鷹志\TAK1008$&　だったら、他の子は誰も、向こうの世界に呼ばれたりしないんだって気付いたのはいつ頃だったろう。$
<7>#鷹志\TAK1008$&　那么，我又是从什么时候开始注意到，其他孩子是不会被召唤到对面的世界的呢。$
 
<8>//#鷹志\TAK1009$&　そのことをひとに言っても信じてもらえないばかりか、頭のおかしな子としか思われないんだって気付いたのはいつ頃だったろう。$
<8>#鷹志\TAK1009$&　又是什么时候开始注意到，就算把发生在自己身上的这种事情说出去，也不会被任何人相信，只会被当成是脑子有毛病的孩子的呢。$
 
<9>//#鷹志\TAK1010$&　だから僕は、いま初めて僕以外の誰かにこんな話が出来て、少しばかりほっとしているんだ。$
<9>#鷹志\TAK1010$&　所以，在现在这个时候，第一次可以和除了我以外的某个人进行这样的对话，让我多少也算是松了口气。$
 
<10>//#鷹志\TAK1011$&　僕にとって言葉を持たない君は、ちょうど王様の耳を見てしまった理髪師が地面に掘った穴──$
<10>#鷹志\TAK1011$&　所以，不会说话的你对于我来说，就仿佛是那个看到国王驴耳朵的理发师，在地面上挖出的那个大洞一样——$
 
<11>//#鷹志\TAK1012$&　──あ、ごめん、そんな風に言ったら気を悪くしちゃうかな。$
<11>#鷹志\TAK1012$&　——啊，抱歉。把你比方成那种东西，你应该会很不开心吧。$
 
<12>//#鷹志\TAK1013$&　はじめまして、見知らぬ方。次元の狭間へようこそ。$
<12>#鷹志\TAK1013$&　初次见面，素未谋面之人。欢迎来到次元的夹缝。$
 
<13>//#鷹志\TAK1014$&　僕の名前は羽田鷹志。私立美空学園の三年生。$
<13>#鷹志\TAK1014$&　我的名字是羽田鹰志，是私立美空学园的三年级学生。$
 
<14>//#鷹志\TAK1015$&　せっかく出会えたのに残念だけど、僕はもう何日かしたら、僕の魂が生まれた世界へ帰らなければならないんだ。なぜって、この逃避行は最初から期限付きの旅だったんだから。$
<14>#鷹志\TAK1015$&　虽然难得能遇见你让我感到非常庆幸，但是再过几天，我的魂魄就必须要要回到我出生的那个世界了。因为，这趟逃避的旅途，从一开始就是附有期限的。$
 
<15>//#鷹志\TAK1016$&　いずれ分かることだから先に打ちあけてしまうと、いまの僕──つまり羽田鷹志は、グレタガルドの先代国王が集めた次期王候補“万色の四枚羽根”のひとり、聖騎士ホークの≪転生≫した姿だ。$
<15>#鷹志\TAK1016$&　我想，你总有一天也会知道，所以还不如就干脆先对你说了。如今的我——也就是羽田鹰志，是古雷塔加尔德的先代国王所召集的下任王位候选人“万色的四枚羽翼”中的一枚，圣骑士霍克的≪转生≫形态。$
 
<16>//#鷹志\TAK1017$&　うん。いいよ、笑ってくれて。慣れてるんだ、そういう目には。$
<16>#鷹志\TAK1017$&　嗯。可以哦，想笑就笑吧。反正，我已经习惯那种视线了。$
 
<17>//#鷹志\TAK1018$&　じゃあ、勝手に話を続ける。$
<17>#鷹志\TAK1018$&　总之，我就擅自地继续说下去了。$
 
<18>//#鷹志\TAK1019$&　翼人兵の凄惨な侵攻の果て、グレタガルドが陥落した折、次期王候補たる四人は死の際に立たされた。$
<18>#鷹志\TAK1019$&　在翼人兵惨烈的进攻下，古雷塔加尔德遭到了攻陷，身为下任王位候选人的四人也被逼到了绝境。$
 
<19>//#鷹志\TAK1020$&　選択肢はふたつあった。非業の憤死を遂げ、グレタガルドの大地に眠るか。忌まわしい妖しの秘術にすがり、はるか異界の赤子として第二の生を得るか。$
<19>#鷹志\TAK1020$&　当时，摆在我们面前的有两个选项。一个是就这样屈辱地死去，长眠于古雷塔加尔德的大地。另一个则是对禁忌的秘术出手，作为遥远异界的婴儿开始自己的第二段人生。$
 
<20>//#鷹志\TAK1021$&　僕らは≪転生≫の道を選んだ。$
<20>#鷹志\TAK1021$&　当时的我们，纷纷选择了≪转生≫的道路。$
 
<21>//#鷹志\TAK1022$&　逃げるためじゃない。戦うためだ。別れのとき僕らは誓った。いつかまた故郷の地につどい、グレタガルドの王旗を掲げようと。$
<21>#鷹志\TAK1022$&　这不是为了逃避，而是为了去战斗。在离别之际，我们向彼此发下了誓言。总有一天，我们要重新踏上故乡的土地，举起那面古雷塔加尔德的王旗。$
 
<22>//#鷹志\TAK1023$&　そして時が流れ、君が僕を迎えに来た。$
<22>#鷹志\TAK1023$&　然后，随着时间的流逝，你终于来迎接我了。$
 
<23>//#鷹志\TAK1024$&　ああ、大丈夫。安心していいよ。僕みたいな境遇のひとの中には、かりそめの世界に必要以上の愛着が涌いちゃって、未練がましく残留を主張するケースもあるんじゃないかと思う。$
<23>#鷹志\TAK1024$&　啊啊，没关系，放心吧。我觉得，在拥有着像我这样境遇的人中，或许也会有对自己暂住的世界涌现出必要以上的爱意，在依依不舍的感情驱使下，主张要留下来的案例吧。$
 
<24>//#鷹志\TAK1025$&　だけど僕には、そんな未練も愛着も全然ないから。$
