<1>//解纜　〜バーサス羽田鷹志〜
<1>启航　～ＶＳ羽田鹰志～
 
<2>//　鷹志はグレタガルドの幻想を失い、これからは大切な人のために生きていく決意を「誰か」に伝える。
<2>　鹰志失去了古雷塔加尔德的幻想，将自己从今往后想要为自己重要的人活下去的决心，传达给了「某人」。
 
<3>//#\TAK4308$&　やあ、また会ったね。いや、ずっとそこにいたのかな。ここまで話を聞いてくれてありがとう。$
<3>#\TAK4308$&　哟，我们又见面了啊。不对，你应该一直都在那里吧。谢谢你，一直听我说到现在。$
 
<4>//#\TAK4309$&　まず僕は君に謝らなくちゃいけない。一番最初に会ったとき僕が勇者の生まれ変わりだって話をしたと思うけど、あれはウソだったんだ。$
<4>#\TAK4309$&　有一件事情，我必须要先向你道歉。在最开始见到你的时候，我应该有对你说过，自己是什么勇者的转世吧。抱歉，那其实是我在说谎。$
 
<5>//#\TAK4310$&　いやウソっていうと語弊がある。僕がグレタガルドだと思っていた世界は、本当は存在しないものだったんだ。$
<5>#\TAK4310$&　不对，说谎这个词，感觉也有点语病。我想说的是，我本以为真实存在的那个名为古雷塔加尔德的世界，实际上是并不存在的。$
 
<6>//#\TAK4311$&　君に見てもらったのは羽田鷹志の物語。なんの変哲もない普通の男の子の話なんだ。$
<6>#\TAK4311$&　你所看到的，是羽田鹰志的故事。故事的主角，是一个随处可见的普通的男生。$
 
<7>//#\TAK4312$&　僕はその中で一番大切なことを覚えた。$
<7>#\TAK4312$&　在这个故事里，我找到了自己最重要的东西。$
 
<8>//#\TAK4313$&　大好きなひとが出来たこと。$
<8>#\TAK4313$&　也找到了自己最喜欢的人。$
 
<9>//#\TAK4314$&　僕はこれからそのひとの為に生きていこうと思う。$
<9>#\TAK4314$&　从今往后，我将会为了那个人活下去。$
 
<10>//#\TAK4315$&　少し大げさに聞こえるかもしれないけど、彼女のおかげで僕はこの世界にとどまることが出来た。$
<10>#\TAK4315$&　你可能会觉得我说得有些夸张吧。不过，多亏了她的存在，我才终于能留在了这个世上。$
 
<11>//#\TAK4316$&　少しでも早くこの病気を治し、ずっと一緒に生きていこうと思う。$
<11>#\TAK4316$&　我想要尽快治好自己的病，和她一起度过自己今后的人生。$
 
<12>//#\TAK4317$&　彼女には心から感謝してる。$
<12>#\TAK4317$&　我由衷地感谢着她。$
 
<13>//#\TAK4318$&　感謝してると言えば、千歳くんと僕の会ったことのない成田くんという二人の兄弟が、貯金を残していってくれた。$
<13>#\TAK4318$&　另外，我还要感谢千岁君，以及我没有见过的成田君。我的这两位兄弟，一直都在努力地为我攒钱。$
 
<14>//#\TAK4319$&　二人分合わせると結構な額だ。まだ手はつけてないけど、いつか本当に必要になったときに使わせてもらおうと思う。$
<14>#\TAK4319$&　他们的钱加在一起，数额可以说是相当的庞大。虽然我还没有去碰过那些钱，不过总有一天，当我真正需要钱的时候，我还是会去使用它们的。$
 
<15>//#\TAK4320$&　ときどきふとした拍子に僕の知らない知識や、感情を覚えることがある。$
<15>#\TAK4320$&　在我日常的生活中，我经常会毫无征兆地学到一些自己所不知道的知识，产生一些从未有过的感情。$
 
<16>//#\TAK4321$&　これがきっと千歳くんや成田くんとの統合ってことなんだと思う。それは戸惑うような感覚じゃなくて、違和感なく受けいれられるものだった。$
<16>#\TAK4321$&　我想，这肯定都是千岁君和成田君留给我的宝贵财富吧。我并没有为此而感到困惑。恰恰相反，我可以毫无违和感地去接受那些事物。$
 
<17>//#\TAK4322$&　僕の中にある全ての思い出と感情。それらを大切にしながら生きていこうと思う。$
<17>#\TAK4322$&　从今往后，我会珍惜着自己体内所有的回忆与感情，努力地度过自己今后的人生。$
 
<18>//#\TAK4323$&　だけど君だけは特別みたいだ。いや、本当は最初から君が僕たちとは違う存在だってことは分かっていたのかもしれない。$
<18>#\TAK4323$&　但是，只有你，似乎是特别的。不，其实，从一开始，我可能就已经知道，你和我们是完全不同的存在了吧。$
 
<19>//#\TAK4324$&　今まで僕のことを見ていてくれてありがとう。また、いつか。$
<19>#\TAK4324$&　谢谢你一直都在关注着我。我们有缘再见。$
 
<20>//#\TAK4325$&　世界が平和でありますように。$
<20>#\TAK4325$&　愿世界永保和平。$
 
