<1>//解纜　〜バーサス成田隼人〜
<1>解纜　〜バーサス成田隼人〜
 
<2>//　隼人は名前も知らない「誰か」に近況を語り、話を聞いてくれたことへの感謝を述べる。
<2>　隼人は名前も知らない「誰か」に近況を語り、話を聞いてくれたことへの感謝を述べる。
 
<3>//#隼人\HAY4562$&　……あん？$
<3>#隼人\HAY4562$&　……あん？$
 
<4>//#隼人\HAY4563$&　ああ悪りぃ、そういやおまえのこと忘れてたわ。$
<4>#隼人\HAY4563$&　ああ悪りぃ、そういやおまえのこと忘れてたわ。$
 
<5>//#隼人\HAY4564$&　随分長くなっちゃったけど、俺……いや、柳木原の夜に集まる変なやつらの物語もこれでおしまいだ。$
<5>#隼人\HAY4564$&　随分長くなっちゃったけど、俺……いや、柳木原の夜に集まる変なやつらの物語もこれでおしまいだ。$
 
<6>//#隼人\HAY4565$&　俺のクソ長げー話、最後まで聞いてくれてハイどーもお疲れー。$
<6>#隼人\HAY4565$&　俺のクソ長げー話、最後まで聞いてくれてハイどーもお疲れー。$
 
<7>//#隼人\HAY4566$&　じゃ、そーゆーことで。解散。$
<7>#隼人\HAY4566$&　じゃ、そーゆーことで。解散。$
 
<8>//　…………。$
<8>　…………。$
 
<9>//#隼人\HAY4567$&　……あん？$
<9>#隼人\HAY4567$&　……あん？$
 
<10>//#隼人\HAY4568$&　なんだよ。早く行けよ。$
<10>#隼人\HAY4568$&　なんだよ。早く行けよ。$
 
<11>//#隼人\HAY4569$&　しょーがねえな。よし、話の締めに、俺が今どうしてるかを付けたしとこうか。$
<11>#隼人\HAY4569$&　しょーがねえな。よし、話の締めに、俺が今どうしてるかを付けたしとこうか。$
 
<12>//#隼人\HAY4570$&　俺はお節介なヒゲカンの勧めにしたがって、バイト先の土木会社へ就職することになった。$
<12>#隼人\HAY4570$&　俺はお節介なヒゲカンの勧めにしたがって、バイト先の土木会社へ就職することになった。$
 
<13>//#隼人\HAY4571$&　まあアルバイターよりは割がいいらしいし、有給休暇もそれなりにあるし、それからどうも俺はヒゲ親父系に弱いらしい。$
<13>#隼人\HAY4571$&　まあアルバイターよりは割がいいらしいし、有給休暇もそれなりにあるし、それからどうも俺はヒゲ親父系に弱いらしい。$
 
<14>//#隼人\HAY4572$&　ヒゲカンには医師の診断書を添えて、俺が今までひとつ所に落ちつけなかった事情をすべて説明した。$
<14>#隼人\HAY4572$&　ヒゲカンには医師の診断書を添えて、俺が今までひとつ所に落ちつけなかった事情をすべて説明した。$
 
<15>//#隼人\HAY4573$&　監督はタバコ一本分の時間黙りこくったものの、最後にはやる気があるなら何でもいいと笑った。$
<15>#隼人\HAY4573$&　監督はタバコ一本分の時間黙りこくったものの、最後にはやる気があるなら何でもいいと笑った。$
 
<16>//#隼人\HAY4574$&　現場の若いやつらとはイマイチ話が合わないけど、最近メシには誘われるようになった。$
<16>#隼人\HAY4574$&　現場の若いやつらとはイマイチ話が合わないけど、最近メシには誘われるようになった。$
 
<17>//#隼人\HAY4575$&　連中のよく行くラーメン屋も不味くはないが、俺が一度メンマの店に連れていってやると、全員うめーうめーとスープを空になるまで飲みほしていた。$
<17>#隼人\HAY4575$&　連中のよく行くラーメン屋も不味くはないが、俺が一度メンマの店に連れていってやると、全員うめーうめーとスープを空になるまで飲みほしていた。$
 
<18>//#隼人\HAY4576$&　履歴書には戸籍上の名前を書いたけど、自分でも驚くほど違和感がなかった。$
<18>#隼人\HAY4576$&　履歴書には戸籍上の名前を書いたけど、自分でも驚くほど違和感がなかった。$
 
<19>//#隼人\HAY4577$&　タカシや鷲介の仲間たちから違う名前で呼ばれてもそうだ。これが統合ってことなんだろう。$
<19>#隼人\HAY4577$&　タカシや鷲介の仲間たちから違う名前で呼ばれてもそうだ。これが統合ってことなんだろう。$
 
<20>//#隼人\HAY4578$&　あいつらと一緒に生きて、あいつらの仲間から、あいつらの名前で呼ばれる。$
<20>#隼人\HAY4578$&　あいつらと一緒に生きて、あいつらの仲間から、あいつらの名前で呼ばれる。$
 
<21>//#隼人\HAY4579$&　おかげでただでさえ変なやつばかりだった俺の周りが、さらに変なやつだらけになった。$
<21>#隼人\HAY4579$&　おかげでただでさえ変なやつばかりだった俺の周りが、さらに変なやつだらけになった。$
 
<22>//#隼人\HAY4580$&　それでも俺は、タカシや鷲介みたいに、そのウザったさを楽しいと感じてるんだから妙な話だ。$
<22>#隼人\HAY4580$&　それでも俺は、タカシや鷲介みたいに、そのウザったさを楽しいと感じてるんだから妙な話だ。$
 
<23>//#隼人\HAY4581$&　いや「みたいに」じゃないか。俺は隼人であって、あいつらでもあるんだから。$
<23>#隼人\HAY4581$&　いや「みたいに」じゃないか。俺は隼人であって、あいつらでもあるんだから。$
 
<24>//#隼人\HAY4582$&　思ったより悪くねえよ、この感覚。なんか隙間が埋まったっつーか？　ああコレかァっつー話。$
<24>#隼人\HAY4582$&　思ったより悪くねえよ、この感覚。なんか隙間が埋まったっつーか？　ああコレかァっつー話。$
 
<25>//#隼人\HAY4583$&　どうよ、おまえも来るか？$
<25>#隼人\HAY4583$&　どうよ、おまえも来るか？$
 
<26>//#隼人\HAY4584$&　俺ァもう行くけど、まあ気が向いたら呼んでくれ。$
<26>#隼人\HAY4584$&　俺ァもう行くけど、まあ気が向いたら呼んでくれ。$
 
<27>//#隼人\HAY4585$&　んじゃ、またな。今までありがとよ。$
<27>#隼人\HAY4585$&　んじゃ、またな。今までありがとよ。$
 
<28>//　…………。$
<28>　…………。$
 
<29>//#隼人\HAY4586$&　で、おまえ誰？$
<29>#隼人\HAY4586$&　で、おまえ誰？$
 
