<1>//解纜　〜バーサス羽田鷹志たち〜
<1>解纜　〜バーサス羽田鷹志たち〜
 
<2>//　鷹志は受験勉強を計画的に進めている。統合を果たして未来を確約された鷹志は、生き甲斐や目標を見つけようとしていた。鷹志は最後に見守り続けてくれた「末っ子」に対して礼を述べる。
<2>　鷹志は受験勉強を計画的に進めている。統合を果たして未来を確約された鷹志は、生き甲斐や目標を見つけようとしていた。鷹志は最後に見守り続けてくれた「末っ子」に対して礼を述べる。
 
<3>//#\SIN2751$&「〜の危険を冒す」のことで、他にも重要な意味があるから注意、と……。$
<3>#\SIN2751$&「〜の危険を冒す」のことで、他にも重要な意味があるから注意、と……。$
 
<4>//#\SIN2752$&　うん、中々できてんじゃん。これで全教科予習したかな。$
<4>#\SIN2752$&　うん、中々できてんじゃん。これで全教科予習したかな。$
 
<5>//#\SIN2753$&　さて、今日の分は終わりっと……。$
<5>#\SIN2753$&　さて、今日の分は終わりっと……。$
 
<6>//#\SIN2754$&　……あ。$
<6>#\SIN2754$&　……あ。$
 
<7>//#\SIN2755$&　あー、終わりじゃなかったな。なに普通に寝ようとしてんだ俺。$
<7>#\SIN2755$&　あー、終わりじゃなかったな。なに普通に寝ようとしてんだ俺。$
 
<8>//#\SIN2756$&　そうだ、おまえがいたんだよな。にしても不思議なやつだなー。おまえだけ俺と一つにならなかったもんな。$
<8>#\SIN2756$&　そうだ、おまえがいたんだよな。にしても不思議なやつだなー。おまえだけ俺と一つにならなかったもんな。$
 
<9>//#\SIN2757$&　よう、末っ子。ここまでずっと見てきたんだろ？$
<9>#\SIN2757$&　よう、末っ子。ここまでずっと見てきたんだろ？$
 
<10>//#\SIN2758$&　でももうこっから先、おまえが見るもんはないんだ。$
<10>#\SIN2758$&　でももうこっから先、おまえが見るもんはないんだ。$
 
<11>//#\SIN2759$&　ていうか現在進行形だから、ここから先は長い長い時間がかかるんだ。$
<11>#\SIN2759$&　ていうか現在進行形だから、ここから先は長い長い時間がかかるんだ。$
 
<12>//#\SIN2760$&　長いことお疲れさま。これにて俺の物語はおしまい。$
<12>#\SIN2760$&　長いことお疲れさま。これにて俺の物語はおしまい。$
 
<13>//#\SIN2761$&　最後にざっと近況報告だけしておくか。$
<13>#\SIN2761$&　最後にざっと近況報告だけしておくか。$
 
<14>//#\SIN2762$&　さしあたって今は受験勉強をがんばってる。$
<14>#\SIN2762$&　さしあたって今は受験勉強をがんばってる。$
 
<15>//#\SIN2763$&　もうカウンセラーさんの元に通うこともなくなったし、これだけ安定してれば、今度こそ受験に専念できそうだ。$
<15>#\SIN2763$&　もうカウンセラーさんの元に通うこともなくなったし、これだけ安定してれば、今度こそ受験に専念できそうだ。$
 
<16>//#\SIN2764$&　まあおまえだからぶっちゃけるけど、そのあとの目標ってのはまだ決まってない。$
<16>#\SIN2764$&　まあおまえだからぶっちゃけるけど、そのあとの目標ってのはまだ決まってない。$
 
<17>//#\SIN2765$&　もし俺が、いや俺たちが別々に生きてれば、それぞれの目標や生き甲斐があったのかもしれない。$
<17>#\SIN2765$&　もし俺が、いや俺たちが別々に生きてれば、それぞれの目標や生き甲斐があったのかもしれない。$
 
<18>//#\SIN2766$&　でも各々が得てきたものを持ちよったんだから、その総合的な知識や経験を生かせる目標を持ちたいんだ。$
<18>#\SIN2766$&　でも各々が得てきたものを持ちよったんだから、その総合的な知識や経験を生かせる目標を持ちたいんだ。$
 
<19>//#\SIN2767$&　で、どうしようか考えたとき行きついた答えが、まずは受験勉強をしようってことだった。$
<19>#\SIN2767$&　で、どうしようか考えたとき行きついた答えが、まずは受験勉強をしようってことだった。$
 
<20>//#\SIN2768$&　幸い今までの貯えがあるおかげで時間に余裕はある。目標を探すための時間を無駄にしないためにも、大学に進むのはいまある選択肢の中では最上のものだと思う。$
<20>#\SIN2768$&　幸い今までの貯えがあるおかげで時間に余裕はある。目標を探すための時間を無駄にしないためにも、大学に進むのはいまある選択肢の中では最上のものだと思う。$
 
<21>//#\SIN2769$&　今は選べる道が多すぎて、具体的な道が見つからないんだ。おまえだって、一本だと思ってた道が、ある日霧が晴れて十本に増えてたらびっくりすんだろ？$
<21>#\SIN2769$&　今は選べる道が多すぎて、具体的な道が見つからないんだ。おまえだって、一本だと思ってた道が、ある日霧が晴れて十本に増えてたらびっくりすんだろ？$
 
<22>//#\SIN2770$&　でもその先のことを考えたとき、なにをするにしても、夢見ごとじゃない、確かな実感がある。$
<22>#\SIN2770$&　でもその先のことを考えたとき、なにをするにしても、夢見ごとじゃない、確かな実感がある。$
 
<23>//#\SIN2771$&　意識の中で五体満足な俺は、もう心のことを気づかって未来に遠慮することなんてない。$
<23>#\SIN2771$&　意識の中で五体満足な俺は、もう心のことを気づかって未来に遠慮することなんてない。$
 
<24>//#\SIN2772$&　これは凄く恵まれたことだと思うんだ。俺のことを見てきたおまえなら分かってくれると思う。$
<24>#\SIN2772$&　これは凄く恵まれたことだと思うんだ。俺のことを見てきたおまえなら分かってくれると思う。$
 
<25>//#\SIN2773$&　てことは、おまえがこれから先はなにをしなくちゃいけないのかも分かるよな？$
<25>#\SIN2773$&　てことは、おまえがこれから先はなにをしなくちゃいけないのかも分かるよな？$
 
<26>//#\SIN2774$&　ま、ゆっくりでいいさ。俺だってここまでくるのに大した時間がかかってる。$
<26>#\SIN2774$&　ま、ゆっくりでいいさ。俺だってここまでくるのに大した時間がかかってる。$
 
<27>//#\SIN2775$&　俺はこれから、明日より先にある未来を待ちわびながら、今日一日を有意義に過ごしていくよ。$
<27>#\SIN2775$&　俺はこれから、明日より先にある未来を待ちわびながら、今日一日を有意義に過ごしていくよ。$
 
<28>//#\SIN2776$&　なんだったら俺と一緒になるか？　はは、冗談だって。$
<28>#\SIN2776$&　なんだったら俺と一緒になるか？　はは、冗談だって。$
 
<29>//#\SIN2777$&　ああ、そういや最後にひとつ。ネットで見たんだけど、おまえみたいなやつのこと、専門的には死神じゃなくてＩＳＨって呼ぶらしいよ。$
<29>#\SIN2777$&　ああ、そういや最後にひとつ。ネットで見たんだけど、おまえみたいなやつのこと、専門的には死神じゃなくてＩＳＨって呼ぶらしいよ。$
 
<30>//#\SIN2778$&　俺たちみたいにバラバラなやつらをまとめて、救済してくれる存在なんだってさ。$
<30>#\SIN2778$&　俺たちみたいにバラバラなやつらをまとめて、救済してくれる存在なんだってさ。$
 
<31>//#\SIN2779$&　ありがとう。いままで導いてくれて。俺たち全員から礼を言わせてもらう。$
<31>#\SIN2779$&　ありがとう。いままで導いてくれて。俺たち全員から礼を言わせてもらう。$
 
<32>//#\SIN2780$&　んじゃな、末っ子。夢テレビは一日一時間だぞ。$
<32>#\SIN2780$&　んじゃな、末っ子。夢テレビは一日一時間だぞ。$
 
<33>//#\SIN2781$&　おやすみなさい、また明日。$
<33>#\SIN2781$&　おやすみなさい、また明日。$
 
