//--------------------------------------------------------------------
// ■(ツール用)キャラ定義ファイル■
//
// 記述方法
//    キャラＩＤ, キャラ名, キャラ名２, キャラ名３, キャラ名４
//
//    ※半角空白、全角空白は対応していないので入れないでください。
//
// ・キャラＩＤに関して
//     キャラＩＤは、ボイスのあるキャラに対してつけてください。
//     キャラＩＤの文字数は半角大文字３文字固定でお願いします。
//     (ツール自体は任意の文字数対応ですが、YU-RISが対応していません)
//
// ・キャラ名に関して
//     同一キャラ扱いの名前を最大４つまで登録できます。
//     例えば
//     YUU,優理,？？？／優理
//     と定義した場合、
//     「優理」という名前と「？？？／優理」という名前は
//     同じキャラクターとして認識されます。
//
// ・サブキャラについて
//     サブキャラも一応登録しておくことで、台本化の際に、
//     「■キャラクター」の欄に正しくキャラ名が表示されるようになります。
//     ただしいちいち登録が面倒だったり、「■キャラクター」の欄ではなく
//     「■台詞」の欄のところにキャラ名が表示されても構わない場合は、
//     登録しなくても構いません。
//
//
// 記述がよく分からない場合は、
//   『ボイスのあるキャラは「ＩＤ３桁」と「キャラ名」を、そして
//   ボイスはないけどセリフはあるキャラは「ＩＤ３桁」は書かずに
//   「,」で飛ばして、「キャラ名」だけを記述する』と覚えていただければ
//   分かりやすいかと思います。
//
//--------------------------------------------------------------------
YUU,優理
ERI,枝理
QUT,きゅーたろー
,恵一
,男子生徒Ａ
,男子生徒Ｂ
,男子生徒Ｃ
,女子生徒Ａ
,女子生徒Ｂ
,女子生徒Ｃ

