[9/6/2024 9:14:06 AM][Info] Target Game type is Normal
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\globalgamemanagers
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\globalgamemanagers.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level0
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level1
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level10
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level11
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level12
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level13
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level14
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level15
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level16
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level17
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level18
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level19
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level2
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level20
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level21
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level22
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level23
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level24
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level25
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level26
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level27
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level28
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level29
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level3
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level30
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level31
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level4
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level5
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level6
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level7
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level8
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\level9
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\resources.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets0.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets1.assets
[9/6/2024 9:14:19 AM][Info] Loading D:\SteamLibrary\steamapps\common\When the Darkness comes\WhenTheDarknessComes_Data\sharedassets10.assets
